,openTime,open,high,low,close,volume,closeTime,assestVolume,noOfTrades,symbol,interval
143,2023-01-01T07:23:00,16548.3,16549.4,16547.31,16548.25,55.18568,2023-01-01T07:23:59.999000,913234.5692193,2010,btcusdt,1m
144,2023-01-01T07:24:00,16548.78,16549.66,16546.48,16548.18,83.50065,2023-01-01T07:24:59.999000,1381782.0365643,2586,btcusdt,1m
145,2023-01-01T07:25:00,16547.96,16548.99,16546.82,16548.01,26.55723,2023-01-01T07:25:59.999000,439465.8974412,1325,btcusdt,1m
146,2023-01-01T07:26:00,16548.01,16553.52,16547.57,16553.12,63.05761,2023-01-01T07:26:59.999000,1043612.7479663,2091,btcusdt,1m
147,2023-01-01T07:27:00,16553.51,16553.51,16549.46,16550.01,36.67689,2023-01-01T07:27:59.999000,607035.0943631,1380,btcusdt,1m
148,2023-01-01T07:28:00,16549.72,16552.6,16548.88,16551.46,30.67832,2023-01-01T07:28:59.999000,507735.3638545,1245,btcusdt,1m
149,2023-01-01T07:29:00,16551.92,16555.0,16549.97,16552.89,56.40756,2023-01-01T07:29:59.999000,933678.7917507,1981,btcusdt,1m
150,2023-01-01T07:30:00,16552.89,16554.64,16551.35,16552.68,42.61981,2023-01-01T07:30:59.999000,705479.9584488,1676,btcusdt,1m
151,2023-01-01T07:31:00,16552.68,16556.0,16552.04,16555.34,53.20855,2023-01-01T07:31:59.999000,880805.3225015,1969,btcusdt,1m
152,2023-01-01T07:32:00,16555.3,16557.89,16554.27,16557.47,68.89517,2023-01-01T07:32:59.999000,1140622.7056173,2481,btcusdt,1m
153,2023-01-01T07:33:00,16557.47,16559.12,16556.0,16557.72,66.8028,2023-01-01T07:33:59.999000,1106084.2919937,2049,btcusdt,1m
154,2023-01-01T07:34:00,16557.52,16559.61,16556.0,16558.65,77.22791,2023-01-01T07:34:59.999000,1278727.9180122,2544,btcusdt,1m
155,2023-01-01T07:35:00,16558.49,16559.77,16554.25,16555.34,72.47217,2023-01-01T07:35:59.999000,1199914.9723181,2519,btcusdt,1m
156,2023-01-01T07:36:00,16555.72,16556.73,16552.25,16553.57,44.86598,2023-01-01T07:36:59.999000,742708.3040976,1553,btcusdt,1m
157,2023-01-01T07:37:00,16553.57,16554.5,16551.19,16552.42,32.19788,2023-01-01T07:37:59.999000,532975.105465,1249,btcusdt,1m
158,2023-01-01T07:38:00,16552.42,16554.03,16551.23,16552.04,27.36441,2023-01-01T07:38:59.999000,452959.5496167,1180,btcusdt,1m
159,2023-01-01T07:39:00,16551.7,16552.64,16548.2,16548.99,82.02657,2023-01-01T07:39:59.999000,1357564.3207752,2178,btcusdt,1m
160,2023-01-01T07:40:00,16549.5,16550.37,16544.5,16545.78,108.2686,2023-01-01T07:40:59.999000,1791503.2642751,3134,btcusdt,1m
161,2023-01-01T07:41:00,16546.12,16547.04,16543.19,16544.01,68.23785,2023-01-01T07:41:59.999000,1128982.9600264,2372,btcusdt,1m
162,2023-01-01T07:42:00,16543.98,16545.27,16542.42,16542.59,39.60619,2023-01-01T07:42:59.999000,655220.4040804,1551,btcusdt,1m
163,2023-01-01T07:43:00,16542.59,16543.19,16541.68,16542.14,34.6886,2023-01-01T07:43:59.999000,573830.1572358,1386,btcusdt,1m
164,2023-01-01T07:44:00,16542.14,16542.59,16538.38,16538.77,61.14629,2023-01-01T07:44:59.999000,1011407.1450859,2130,btcusdt,1m
165,2023-01-01T07:45:00,16538.77,16544.69,16538.14,16543.55,78.08839,2023-01-01T07:45:59.999000,1291735.3063137,2507,btcusdt,1m
166,2023-01-01T07:46:00,16543.47,16546.51,16542.41,16545.88,61.18061,2023-01-01T07:46:59.999000,1012163.1630231,2282,btcusdt,1m
167,2023-01-01T07:47:00,16545.89,16546.91,16544.88,16545.6,42.27913,2023-01-01T07:47:59.999000,699551.0903413,1706,btcusdt,1m
168,2023-01-01T07:48:00,16545.61,16547.01,16545.0,16545.74,29.54603,2023-01-01T07:48:59.999000,488856.9812065,1399,btcusdt,1m
169,2023-01-01T07:49:00,16545.42,16546.85,16545.08,16546.22,33.67256,2023-01-01T07:49:59.999000,557141.7561541,1442,btcusdt,1m
170,2023-01-01T07:50:00,16546.22,16546.22,16544.61,16545.2,48.82788,2023-01-01T07:50:59.999000,807872.1980845,1740,btcusdt,1m
171,2023-01-01T07:51:00,16545.2,16546.97,16544.74,16546.53,68.3731,2023-01-01T07:51:59.999000,1131296.5867941,1940,btcusdt,1m
172,2023-01-01T07:52:00,16546.09,16547.12,16544.78,16546.23,69.81948,2023-01-01T07:52:59.999000,1155247.4122954,2098,btcusdt,1m
173,2023-01-01T07:53:00,16546.22,16547.2,16545.63,16547.13,78.26527,2023-01-01T07:53:59.999000,1295011.9684478,2455,btcusdt,1m
174,2023-01-01T07:54:00,16547.13,16547.24,16544.54,16546.33,43.98056,2023-01-01T07:54:59.999000,727695.2613545,1456,btcusdt,1m
175,2023-01-01T07:55:00,16545.77,16547.13,16545.01,16546.07,25.96276,2023-01-01T07:55:59.999000,429575.1989658,1175,btcusdt,1m
176,2023-01-01T07:56:00,16546.07,16549.12,16545.8,16547.2,49.68595,2023-01-01T07:56:59.999000,822164.7983543,1646,btcusdt,1m
177,2023-01-01T07:57:00,16547.21,16548.03,16546.39,16547.18,24.44029,2023-01-01T07:57:59.999000,404419.1189971,1046,btcusdt,1m
178,2023-01-01T07:58:00,16547.18,16547.99,16546.35,16547.12,38.47918,2023-01-01T07:58:59.999000,636722.5434745,1479,btcusdt,1m
179,2023-01-01T07:59:00,16546.72,16548.6,16546.71,16548.19,39.09584,2023-01-01T07:59:59.999000,646948.5486638,1453,btcusdt,1m
180,2023-01-01T08:00:00,16548.19,16548.19,16531.47,16533.94,344.42893,2023-01-01T08:00:59.999000,5696296.0186831,6966,btcusdt,1m
181,2023-01-01T08:01:00,16533.31,16534.75,16527.37,16534.67,196.14205,2023-01-01T08:01:59.999000,3242403.5616379,5152,btcusdt,1m
182,2023-01-01T08:02:00,16534.22,16534.66,16523.34,16527.37,146.86195,2023-01-01T08:02:59.999000,2427238.462177,3939,btcusdt,1m
